digits_base_2,record_number,log(number),steps
2,3,"1,58496250072116",2
3,7,"2,8073549220576",5
4,9,"3,16992500144231",6
5,27,"4,75488750216347",41
6,55,"5,78135971352466",41
7,97,"6,59991284218713",43
8,231,"7,85174904141606",46
8,235,"7,876516946565",46
9,327,"8,35314682549808",52
10,871,"9,76652890859887",65
11,1161,"10,1811522568656",66
12,3711,"11,8575922856975",87
13,6171,"12,5912885792461",96
14,13255,"13,6942490497546",101
15,26623,"14,700385529359",113
16,52527,"15,6807715690541",125
17,106239,"16,696953946586",130
18,230631,"17,8152269186511",164
19,511935,"18,9656011183912",174
20,837799,"19,6762446366361",195
21,1723519,"20,7169257723257",207
22,3732323,"21,8316424135883",222
23,6649279,"22,6647664829429",248
24,15733191,"23,9073079715188",263
25,31466383,"24,9073080173676",263
26,63728127,"25,9254269240904",357
27,127456255,"26,9254269354096",357
28,226588897,"27,7555019290151",359
29,268549803,"28,0006144222754",362
30,670617279,"29,3209144149214",370
31,1674652263,"30,641214408943",378
32,2610744987,"31,2818143985929",394
33,4890328815,"32,1872843260802",425
34,13371194527,"33,6384093044469",455
35,31694683323,"34,8835218022716",458
36,63389366647,"35,8835218022944",458
36,64375365601,"35,9057896694433",458
37,133561134663,"36,9587092986817",463
38,202485402111,"37,5590269465177",491
39,426635908975,"38,6342144429132",496
40,989345275647,"39,8476831446562",506
41,2081751768559,"40,9209351882561",540
